,filename,id,sex,weight,height,complete,area,area_weighted,mayor_axis,minor_axis,percent_area,eccentricity,perimeter,width_bbox,height_bbox,mask_method,symmetry,symmetry_v,orientation,distance
193,b54295725c8746718ad0d187bfafb67a,0277,0,26.0,1.338672119140625,True,82262.5,247441.53582435683,642.9938354492188,232.40557861328125,46.71749439191299,0.9323942327438177,3777.9851738214493,645,273,NEW,0.7781419462487337,0.6978845122459925,87.54759979248047,324.2221460665511
194,32c1a494cd6147278a645bf82b842f8b,0247,1,21.8,1.2285589599609374,False,,,,,,,,,,NEW,,,,
195,f200d6c67a3541f2bdcad2d7465270de,0236,0,25.5,1.2539708251953126,True,72900.0,321816.33471866365,679.3524780273438,160.0929412841797,37.59398496240601,0.9718367294214704,1982.5525064468384,567,342,NEW,0.9458484733445415,0.8066869136070286,112.32196807861328,291.30224853234483
196,be9f0a2ddae34afb872e75004bafb135,0272,1,22.3,1.298144287109375,True,70867.5,219156.60013235325,559.5576782226562,282.3775634765625,32.03050847457627,0.8633273906429807,3474.50494492054,625,354,NEW,0.47594439992262416,0.5923397905325116,70.60963439941406,210.52315787105226
197,27688d015a884fd69e322742ae0710fb,0273,1,22.5,1.3859488525390624,True,79981.5,309805.24292736326,608.1383666992188,190.43699645996094,49.887104319351316,0.9497045100186059,1987.7169398069382,605,265,NEW,0.7806977405671461,0.891752513572674,102.4753189086914,262.3451924468981
198,fc9abd4ca718436d89e6cbf3eecfbf4d,0230,0,25.5,1.3259376220703125,True,76224.0,388103.1483679127,581.7372436523438,181.0911407470703,65.95197923426346,0.9503137537020092,1701.1067667007446,575,201,NEW,0.8301979940757678,0.8334719118640544,88.09455871582031,260.0480724789169
199,287b4938d65245f4808dde0a095f5c73,0238,1,25.8,1.462498779296875,True,71184.5,590799.5727806974,584.764404296875,188.6810760498047,57.1047522782698,0.9465143570859711,1945.3737932443619,588,212,NEW,0.8824574553732545,0.7796840731795341,90.24679565429688,296.0675598575433
200,0adb6501f465470bb02ce2eaeab60894,0261,1,27.1,1.3229921875,True,117713.5,326071.7321673632,708.5554809570312,229.20913696289062,58.06990281683193,0.946232300883974,2327.731218457222,699,290,NEW,0.8293492360303903,0.7904011051026768,98.9017333984375,242.00206610688264
201,eecf90bb838a449f93068fa035598e11,0236,0,25.5,1.3854132080078125,True,66730.5,333888.26788364194,602.06396484375,164.74557495117188,43.96643738140418,0.961833700188059,1663.5748032331467,544,279,NEW,0.8200148257968866,0.7970941438102298,108.434326171875,262.1907702418222
202,eb094c48152e42fcb20b2481a771d01a,0253,1,21.8,1.321273193359375,True,86842.0,292872.2819550656,670.6915283203125,199.41297912597656,37.1373588778652,0.9547765083390215,1900.4936304092407,592,395,NEW,0.8083785880527541,0.7926345091954548,60.182735443115234,301.01494979485653
203,fe7fb0154b7e462381368fa51e904d95,0238,1,25.8,1.39253369140625,True,69054.0,334710.701729659,566.6610717773438,178.94757080078125,57.99445704207609,0.9488281264365684,1823.9595799446106,567,210,NEW,0.8269316115732058,0.7282358162374196,84.38470458984375,287.3395204283602
204,f67f3ea603644dbb98f9e858d4d9f2ae,0271,1,20.5,1.355556884765625,True,68128.5,264671.01730987785,546.6473999023438,186.4852294921875,62.51697621494641,0.9400112151829916,1921.0306466817856,556,196,NEW,0.7746509503718847,0.802284952082699,94.62812805175781,206.48002324680226
205,6f2d3016a282453e80d692d3870b6c8b,0277,0,26.0,1.3349405517578126,True,103641.0,316163.5466817094,688.0751342773438,243.32119750976562,52.360335054410974,0.9353869326210904,2302.375881075859,662,299,NEW,0.9242942604308022,0.8322662028630952,83.35316467285156,321.22577729690374
