;Unnamed: 0;filename;id;sex;weight;height;complete;area;area_cc;mayor_axis;minor_axis;percent_area;eccentricity;predicted_weight;difference;perimeter;width_bbox;height_bbox;mask_method;symmetry;symmetry_v;orientation;distance;area_bb;good;augmented;train_set;train
207;208;e42e8650fbc64543a23cc188961efb23;0230;0;25,5;1,3124869384765625;True;69379,5;315157,76599237963;525,7166137695312;189,2864227294922;0,4379023706733318;0,9329314253380576;24,195;1,3049999999999997;1747,7169371843338;486,0;326,0;NEW;0,7500534652618372;0,8606909137569683;62,62338638305664;231,07790893982056;158436,0;Selected;False;True;False
210;211;80bcdfa253704e25a97258c838580c49;0239;1;22,8;1,345027099609375;True;76731,0;281203,3629142911;565,6096801757812;228,4123992919922;0,3745460402999063;0,9148322957899586;22,474000000000004;0,32599999999999696;1896,209359884262;582,0;352,0;NEW;0,577228118592265;0,8493867918445249;118,03667449951172;279,3027031734566;204864,0;Selected;False;True;False
212;213;e27f96ef11d74619b20e732f93eebaf6;0253;1;21,8;1,3105699462890623;True;89276,0;297856,8688168006;663,1634521484375;199,18533325195312;0,3768923562737996;0,9538270712006176;22,78400000000001;0,9840000000000089;1918,694641470909;582,0;407,0;NEW;0,8096961086816578;0,7787298275211436;57,63318634033203;302,0595967685847;236874,0;Selected;False;True;False
213;214;8ec08a25eb0f4e629c151e3152de6dd1;0253;1;21,8;1,323931640625;True;89111,5;295079,8143540352;557,575439453125;249,7045135498047;0,4198362331745606;0,8941137784771318;23,21;1,4100000000000001;1871,5159291028976;509,0;417,0;NEW;0,624129878794618;0,8191482263983098;53,07527923583984;260,9233603953467;212253,0;Selected;False;True;False
218;219;8f01f17d372143c0ae45da8294fc1c03;0253;1;21,8;1,3198846435546876;True;86810,5;292443,0665825081;675,3021240234375;196,47706604003903;0,372181111949513;0,9567391994615694;22,842000000000006;1,0420000000000051;1896,2509900331495;592,0;394,0;NEW;0,809276526780721;0,7911069516885607;60,28603363037109;304,20059171540083;233248,0;Selected;False;True;False
224;225;f772f03b1b9247379b626f6a5c81501f;0232;1;23,6;1,3783201904296876;True;88033,0;333630,0130092013;577,3552856445312;240,0353240966797;0,49611149307394925;0,9094790449680016;24,48;0,879999999999999;1778,0428400039673;578,0;307,0;NEW;0,6646621621621621;0,8323873873873874;106,89999389648438;315,493264587376;177446,0;Selected;False;True;False
228;229;62f0a4da83774ae78649692ee42c5472;0253;1;21,8;1,2143094482421877;True;103689,0;333654,6326902087;681,761962890625;212,1258850097656;0,466219132749411;0,9503629032252352;25,165000000000013;3,3650000000000126;1912,8123899698255;611,0;364,0;NEW;0,9311123442851948;0,8267666813371859;112,11995697021484;262,5280937347468;222404,0;Selected;False;True;False
229;230;1c2dd0f191f44757b2465e59e2a60207;0253;1;21,8;1,3260533447265626;True;87127,0;297178,16201080923;665,1537475585938;200,5136566162109;0,36243115526048686;0,95348053173834;23,05800000000001;1,2580000000000098;1862,978910923004;598,0;402,0;NEW;0,8292139176723501;0,7963192556615899;60,03483581542969;309,4010342581292;240396,0;Selected;False;True;False
236;237;3894eee4dfe5436c8e7d522112baaa7b;0230;0;25,5;1,33379736328125;True;75603,5;335070,5630737729;554,9230346679688;193,91751098632807;0,4374519027698219;0,9369552444459828;24,945;0,5549999999999997;1785,7169371843338;519,0;333,0;NEW;0,7497839805189704;0,8383650598308502;63,1006965637207;232,1745033374681;172827,0;Selected;False;True;False
246;247;781f2d6caa704f92882a98d392ac1981;0252;1;22,2;1,276918701171875;True;75304,0;279515,8604781416;570,9182739257812;189,33273315429688;0,4572525017001846;0,9434100814213822;22,45200000000001;0,25200000000000955;2096,209359407425;564,0;292,0;NEW;0,9161855778314264;0,7396609635772017;73,6083984375;331,16914107446667;164688,0;Discarded;False;True;False
248;249;1381e4b756a7402e9e5c99c7cf758688;0239;1;22,8;1,3631275634765625;True;71974,5;286560,8608673363;509,3648986816406;242,4642791748047;0,4488307557994512;0,8794382798221313;22,537;0,2630000000000017;1644,520978808403;422,0;380,0;NEW;0,6403004374501334;0,8599059069524307;123,66657257080078;297,83384629689084;160360,0;Selected;False;True;False
253;254;3129a0f0f16b4e82ab37a971aa4e8812;0232;1;23,6;1,3781358642578123;True;86524,5;355808,8061184403;582,1048583984375;237,6407623291016;0,4484064054726368;0,9128728890057304;24,53899999999999;0,9389999999999894;1746,97177195549;576,0;335,0;NEW;0,6719754345360175;0,7939319637476082;112,4399642944336;307,09281984442424;192960,0;Selected;False;True;False
256;257;22cc040378d843ad8f46626aec987d14;0239;1;22,8;1,3470791015625;True;75520,5;283819,98386711674;561,6485595703125;223,5303192138672;0,3767641996557659;0,9173899010794396;22,603000000000012;0,19699999999998852;1884,108854174614;581,0;345,0;NEW;0,5847625286603341;0,8541893219783819;117,27914428710938;276,69839175535515;200445,0;Selected;False;True;False
