,uuid,id,sex,area,width,height,MA,ma,per_area,eccentricity,perimeter,symmetry,weight,mask_method
1092,bfa3257d923d49fab4f772d3408418f5,TA5751,1,284838.29469824274,595,347,592.1517333984375,309.9353332519531,52.597261567516526,0.8520838758911872,1975.8174459934235,0.3026114218532901,26.8,LAB_closing
1093,717cd86dd99048c6b87865f97629ed12,TA0438,1,212574.24800224174,612,282,602.4404296875,250.18380737304688,51.70098375657744,0.909691864105321,1787.5920503139496,0.22328478680470257,13.9,LAB_closing
1094,8c83809d96cb4c10aa7d41a24aaf1d8e,TA0441,1,218983.16258900982,506,419,632.7437744140625,180.83172607421875,36.28394660006332,0.958292325851028,1812.2022219896317,0.34604950423738984,13.5,LAB_closing
1095,fb508874103e42908f8337e0930837a5,CG1741,0,219489.44950272274,641,342,658.4425659179688,151.3203125,29.837105764932353,0.973234212548475,2109.2316595315933,0.19984627209838585,27.2,Gray_opening
1096,ca4670de3b9e43b4b6705378ceafbfd0,CG1741,0,220515.43518179512,690,287,715.5215454101562,241.82957458496094,41.919607209399594,0.9411544954850963,2547.8245862722397,0.16002507387839168,27.2,LAB_opening
1097,2cced86d2b0f4419ac7bb0fd473c00d3,TA5751,1,278353.2503736831,717,251,693.6876831054688,246.97755432128906,59.078640657588025,0.934472367978971,2022.4864927530289,0.2913800515907137,26.8,LAB_closing
1098,1775b74146be4ea0977f272b94367a22,TA5751,1,306743.43941218796,623,294,636.6609497070312,266.8917236328125,59.30484358040214,0.9078914098821805,2143.17278444767,0.30089560819611755,26.8,LAB_closing
1099,98a4f3ad66ff405f92c39ce885e27179,TA0477,1,156125.689327545,483,359,481.9864807128906,303.3978271484375,35.110529600472994,0.7770217661071253,2069.8174459934235,0.1627188465499485,16.1,Gray_opening
1100,71b86d88e6f940bb806257695fd145b9,TA0477,1,194615.1392603715,601,304,570.6137084960938,276.5697326660156,50.31499036693231,0.8746869991047502,1968.8052533864975,0.18608911157803998,16.1,LAB_opening
1101,df2d514373954d6f8a6b2e5486e38a9b,TA332,1,196515.9347186132,404,211,409.8340759277344,193.20407104492188,70.08598013881968,0.8819087108750526,1263.5361396074295,0.5549659329140462,20.4,Gray_opening
1102,52a122abd67649779a6ee92300e9f599,TA450,0,245318.24911066302,546,229,564.3225708007812,181.74795532226562,52.54589017274027,0.9467179163521868,1632.5554724931717,0.3313881572245587,16.9,LAB_closing
1103,40f3fd41dfd247469063ed48cb175d47,TA5751,1,264070.99543215596,715,251,691.5321044921875,246.31332397460938,58.998396447514494,0.9344154780417518,2000.5869979858398,0.28945541116952683,26.8,LAB_closing
1104,bb555b6a3dc941cf886e7a8fd989cddf,TA433,0,248233.7651024751,579,436,689.2343139648438,207.2236328125,36.9750254841998,0.9537321017678904,2041.883461356163,0.3063623281268054,17.7,Gray_opening
1105,29c687cd8dfc48718a2a76af7e363238,TA347,0,223777.01267359214,548,447,623.5723876953125,177.57188415527344,28.86877606882169,0.9585972183402407,2057.1311542987823,0.1684404078676102,20.4,LAB_opening
1106,ab6c75e930dd48efb38791bdcecc9f8e,TA5751,1,281010.215628014,585,350,585.1505126953125,301.5483703613281,51.54388530038429,0.8569889938738741,1945.7758158445358,0.2924688981042654,26.8,LAB_closing
1107,5fd5fe4b06d24e299fe3fb3c9a0e5c78,TA0477,1,171440.55692866896,483,359,481.9864807128906,303.3978271484375,35.110529600472994,0.7770217661071253,2069.8174459934235,0.1627188465499485,16.1,Gray_opening
1108,7de9b89307854b95bf88034fcc6c3782,TA5751,1,268243.4869152048,718,251,695.2420654296875,245.90550231933594,59.11628802464382,0.9353597994788873,2020.7291333675385,0.29206303622069857,26.8,LAB_closing
1109,216d39f3fd334226ab30fa8b0ce0666e,TA0440,1,206722.27390183546,569,308,630.8330078125,186.8320770263672,40.59466281227078,0.9551360950815417,1784.5037376880646,0.3268639053254438,16.0,LAB_opening
1110,11efbaaba55e420883d246be50f3e4c4,TA5751,1,286304.8258541059,636,317,620.5438232421875,292.8284606933594,55.399883677372294,0.8816574012810562,1997.1139093637466,0.28598165493983563,26.8,LAB_closing
1111,46d4fad55b054f4fb0051de3b675d8d9,TA5751,1,276694.661946891,633,305,621.4738159179688,289.849853515625,57.945251599202344,0.884578626528463,1963.4154250621796,0.2841353616889165,26.8,LAB_closing
1112,a42b99175aa54bd2b242abdb2a2bbd6a,TA977,0,196388.71386113056,600,227,565.4799194335938,197.33480834960938,52.26431718061674,0.9371343696004075,2062.361602306366,0.23357279560646826,16.8,LAB_closing
1113,27b482f2c6944e4a872c87f8da8da985,TA5751,1,270975.96938205016,719,251,702.1008911132812,236.87100219726562,57.796088373777614,0.9413704818921261,1996.8468835353851,0.3001672775802338,26.8,LAB_closing
1114,754868699803412bb30cb54f8ae8290e,TA5751,1,283118.0948015009,634,309,623.731201171875,288.1922912597656,56.84129123150899,0.8868561399052695,1981.6580656766891,0.2856888271093409,26.8,LAB_closing
1115,2f00743c9d6e44abb50d38629783b72d,CG1746,1,203980.72133340256,291,424,447.7185363769531,223.66549682617188,49.901192828742175,0.8662751352549942,1713.9108109474182,0.312147447480477,24.6,Gray_opening
1116,b5cb3aa0c5c24c2bac037f60a5b20498,TA5751,1,262084.41710537265,708,252,701.3286743164062,241.32000732421875,59.83056953585409,0.9389367629491413,1981.4326699972153,0.3098501127943576,26.8,LAB_closing
1117,465b236a3e28400f8b85261b6a9cd1aa,CG1741,0,167381.14653434252,466,271,514.4994506835938,171.31556701660156,46.149670244217354,0.9429355777865658,1545.602154970169,0.3297173222651951,27.2,Gray_opening
1118,197bda022cd641b7b3e9b05b8fbe7e9b,TA5751,1,264070.99543215596,715,251,691.5321044921875,246.31332397460938,58.998396447514494,0.9344154780417518,2000.5869979858398,0.28945541116952683,26.8,LAB_closing
1119,df480ba666ae4f349b5dbc05a8da9f26,TA5751,1,283753.8385154956,589,349,587.9310302734375,307.71490478515625,51.96723633273534,0.852095671533702,1966.7880084514618,0.30260038757943125,26.8,LAB_closing
1120,f3bf8bcea39941e0a8eaac11a67e48da,TA0427,0,231481.00362668175,581,320,554.1055297851562,286.9150390625,49.88572144210147,0.8555025792635479,1995.7413259744644,0.3042157746887666,18.9,LAB_opening
