,uuid,gray_n,r_n,g_n,b_n
2003,e07765bbbf2f45118873e9fecec8ff0c,1.1462059064296026,1.2134976078386308,1.1634348382706485,1.1953399232407882
2004,d5e4a3e0cae04d8da6ea88bddb7604e7,1.0381916508855171,1.1046961336063597,1.0526653173179121,1.0829226151388962
2005,0cb5410183cc423a80f3e7503c94e4a2,1.0280249591395356,1.0964241388080591,1.0446691589890944,1.0757983893203527
2006,65b93b9e2820432ab4fdc839d3c5667c,0.9901661454292181,1.0762167929538373,1.0049084166633564,1.0418291797583552
2007,89f9d7a8d3344d048da723a168019cd4,0.7869469840980257,0.8565734810914374,0.8000724610447479,0.8246394694503407
2008,e4eb1c1630874cfc933d3fd6b9c73449,0.959847894980146,1.0453375717072786,0.9742678404521924,1.012070867011379
2009,d1836cab8ac042728ade0bd7b34a2435,1.0681379869937138,1.1364917104650192,1.0859371874907684,1.114139658578417
2010,99fd598118334a11a76cf62d386d673b,1.0182456781652993,1.114017753322241,1.0339105035838865,1.0762136936676634
2011,e902438c793c4bdbaad4bb4a45cff0a2,0.8649921754353052,0.9347870669775021,0.8788635472545606,0.9123740624628118
2012,0576ee8f5d9d4a0f967c4687b65675e3,0.5825542264022936,0.6445358174999364,0.5921537487784402,0.6219957422521135
2013,39d46c44ab8c40a1ba477a2db8830224,0.9019005413856083,0.9662944102219836,0.9147543142444134,0.9477348515169174
2014,33ea04012c0743bc89f15913f16e56fb,1.0402526761912008,1.1101973665651392,1.0585157365189581,1.0889135353131618
2015,36d82d07f087421fbac77ba8ae36654d,0.9901661454292181,1.0762167929538373,1.0049084166633564,1.0418291797583552
2016,922a199740f644479e8c842e29180efe,0.7479744935558649,0.8132516589518188,0.7589428673255106,0.7851762585973029
2017,16f26e6a270f42f884e3fcba0416e784,1.0520309967476416,1.1192793081502346,1.0701297949081792,1.0989572887075763
2018,d763530ae50947a295bfabcf65cb21f1,1.5578479305780668,1.6216673983768681,1.5700839123928625,1.5952222225498554
2019,83295e434be142a793b279cd0a2f81dc,1.096436535952755,1.163620795441086,1.113488808481885,1.1437853639277393
2020,8b7462294c6e41a4b0eb21b5e1092427,1.1500593522392266,1.2165297428121553,1.166805828532526,1.1967087746342873
2021,368fbe373e6747309b9696efa33b4b94,0.9891072226531149,1.0624125723350175,1.0009113705943387,1.0362442660728786
2022,384fe66cb14c4dd9aed6b0cd3bc8b231,1.0236064101508593,1.0922442348547778,1.0404262362169425,1.0730555210563977
2023,9784c0e254474762a9632ba9a1bcdd49,1.125666936954767,1.186797257449962,1.1425146565964157,1.1743463917937718
2024,b77e0594304f44de9a6fc859f52fd83f,0.6834752489895749,0.7525645363795002,0.695541803160194,0.7260170841087468
2025,76d238facee64b459a90b542b864aa77,0.814626708917666,0.8791817406350871,0.828267700464657,0.8610323208003751
2026,5aa44b90eaed46f1a55ddf14df994c23,0.586296097909655,0.6514141666153458,0.597571301010523,0.6271891127842799
2027,ebe2e318ec14444ea8744f35ae7d5506,1.5061869624397122,1.5699640733274693,1.51935582939287,1.5431573141134944
2028,dcc96b8b9b2342e8a34d025b8c21cf82,0.5949441394303959,0.6561850011324621,0.603977525532099,0.6280465819590757
2029,30bade85534b44bca6e1e06e78cbb82b,0.6954787843413235,0.7657055097570923,0.7064647207326218,0.7394111658572122
2030,f6a13a1593b6428f9c44da2838ae8e2a,1.0352576599741679,1.1051517286739316,1.0501817559971787,1.0844867215613552
2031,7e597afa113f49eab9a4ce27cd10e923,1.1358894158518795,1.2042875624250118,1.1529137948054442,1.1842558427873142
2032,147fe5171b0945a79e447160e3f098f6,0.5963109246331124,0.6554700991216686,0.6046025482438478,0.6280558798175976
2033,744bb8f8cb9f487d9887a4926630eb0d,1.1028799519084187,1.1697956065950064,1.1194053457879756,1.1509219868909788
2034,6be5396434d04024a31d865966b3bb16,0.9368532577601424,1.025176715145666,0.952167863841072,0.9897188151247763
2035,f2ad06d595574453aa4f5234ecbf3fd3,1.0557739013503944,1.1265202737479973,1.0729749396158748,1.1041733873383515
2036,3072bf434378460a8757bc9ce07aa8af,1.3074039127188484,1.3731965927150713,1.319984948394345,1.3454476505042123
